X,Y,fid,icon_url
,,"1",./0.png
,,"2",./0.png
,,"3",./0.png
,,"4",./0.png
,,"5",./0.png
,,"6",./0.png
,,"7",./0.png
,,"8",./0.png
,,"9",./0.png
,,"10",./0.png
,,"11",./0.png
,,"12",./0.png
,,"13",./0.png
,,"14",./0.png
,,"15",./0.png
,,"16",./0.png
,,"17",./0.png
,,"18",./0.png
,,"19",./0.png
,,"20",./0.png
,,"21",./0.png
,,"22",./0.png
,,"23",./0.png
,,"24",./0.png
,,"25",./0.png
,,"26",./0.png
,,"27",./0.png
,,"28",./0.png
,,"29",./0.png
,,"30",./0.png
,,"31",./0.png
,,"32",./0.png
,,"33",./0.png
,,"34",./0.png
,,"35",./0.png
,,"36",./0.png
,,"37",./0.png
,,"38",./0.png
,,"39",./0.png
,,"40",./0.png
,,"41",./0.png
,,"42",./0.png
,,"43",./0.png
,,"44",./0.png
,,"45",./0.png
,,"46",./0.png
,,"47",./0.png
,,"48",./0.png
,,"49",./0.png
,,"50",./0.png
,,"51",./0.png
,,"52",./0.png
,,"53",./0.png
,,"54",./0.png
,,"55",./0.png
,,"56",./0.png
,,"57",./0.png
,,"58",./0.png
,,"59",./0.png
,,"60",./0.png
,,"61",./0.png
,,"62",./0.png
,,"63",./0.png
,,"64",./0.png
,,"65",./0.png
,,"66",./0.png
,,"67",./0.png
,,"68",./0.png
,,"69",./0.png
,,"70",./0.png
,,"71",./0.png
,,"72",./0.png
,,"73",./0.png
,,"74",./0.png
,,"75",./0.png
,,"76",./0.png
,,"77",./0.png
,,"78",./0.png
,,"79",./0.png
,,"80",./0.png
,,"81",./0.png
,,"82",./0.png
,,"83",./0.png
,,"84",./0.png
,,"85",./0.png
,,"86",./0.png
,,"87",./0.png
,,"88",./0.png
,,"89",./0.png
,,"90",./0.png
,,"91",./0.png
,,"92",./0.png
,,"93",./0.png
,,"94",./0.png
,,"95",./0.png
,,"96",./0.png
,,"97",./0.png
,,"98",./0.png
,,"99",./0.png
,,"100",./0.png
,,"101",./0.png
,,"102",./0.png
,,"103",./0.png
,,"104",./0.png
,,"105",./0.png
,,"106",./0.png
,,"107",./0.png
,,"108",./0.png
,,"109",./0.png
,,"110",./0.png
,,"111",./0.png
,,"112",./0.png
,,"113",./0.png
,,"114",./0.png
,,"115",./0.png
,,"116",./0.png
,,"117",./0.png
,,"118",./0.png
,,"119",./0.png
,,"120",./0.png
,,"121",./0.png
,,"122",./0.png
,,"123",./0.png
,,"124",./0.png
,,"125",./0.png
,,"126",./0.png
,,"127",./0.png
,,"128",./0.png
,,"129",./0.png
,,"130",./0.png
,,"131",./0.png
,,"132",./0.png
,,"133",./0.png
,,"134",./0.png
,,"135",./0.png
,,"136",./0.png
,,"137",./0.png
,,"138",./0.png
,,"139",./0.png
,,"140",./0.png
,,"141",./0.png
,,"142",./0.png
,,"143",./0.png
,,"144",./0.png
,,"145",./0.png
,,"146",./0.png
,,"147",./0.png
,,"148",./0.png
,,"149",./0.png
,,"150",./0.png
,,"151",./0.png
,,"152",./0.png
,,"153",./0.png
,,"154",./0.png
,,"155",./0.png
,,"156",./0.png
,,"157",./0.png
,,"158",./0.png
,,"159",./0.png
,,"160",./0.png
,,"161",./0.png
,,"162",./0.png
,,"163",./0.png
,,"164",./0.png
,,"165",./0.png
,,"166",./0.png
,,"167",./0.png
,,"168",./0.png
,,"169",./0.png
,,"170",./0.png
,,"171",./0.png
,,"172",./0.png
,,"173",./0.png
,,"174",./0.png
,,"175",./0.png
,,"176",./0.png
,,"177",./0.png
,,"178",./0.png
,,"179",./0.png
,,"180",./0.png
,,"181",./0.png
,,"182",./0.png
,,"183",./0.png
,,"184",./0.png
